column_name,primary_purpose,additional_use_cases
member_id,constant_or_empty,
deferral_term,constant_or_empty,
hardship_length,post_application_leakage,
hardship_type,post_application_leakage,
policy_code,constant_or_empty,
application_type,modeling,portfolio_segmentation
bad_loan,target,"portfolio_monitoring,reporting"
debt_settlement_flag,post_application_leakage,
disbursement_method,conditionally_available,"portfolio_segmentation,reporting"
hardship_flag,post_application_leakage,
initial_list_status,exclude_from_model_features,"portfolio_segmentation,reporting"
pymnt_plan,post_application_leakage,"portfolio_monitoring,reporting"
term,modeling,portfolio_segmentation
hardship_status,post_application_leakage,
settlement_status,post_application_leakage,
verification_status,conditionally_available,portfolio_segmentation
verification_status_joint,conditionally_available,portfolio_segmentation
hardship_loan_status,post_application_leakage,
num_tl_30dpd,conditionally_available,"data_quality_check,portfolio_segmentation"
home_ownership,modeling,portfolio_segmentation
loan_status,target_source,"portfolio_monitoring,reporting"
num_tl_120dpd_2m,conditionally_available,"data_quality_check,portfolio_segmentation"
grade,lender_derived_feature,"benchmarking,portfolio_segmentation,reporting"
sec_app_inq_last_6mths,conditionally_available,portfolio_segmentation
acc_now_delinq,modeling,portfolio_segmentation
hardship_reason,post_application_leakage,
chargeoff_within_12_mths,modeling,portfolio_segmentation
emp_length,modeling,
pub_rec_bankruptcies,modeling,portfolio_segmentation
sec_app_collections_12_mths_ex_med,conditionally_available,portfolio_segmentation
purpose,modeling,"portfolio_segmentation,reporting"
collections_12_mths_ex_med,modeling,portfolio_segmentation
sec_app_chargeoff_within_12_mths,conditionally_available,portfolio_segmentation
sec_app_mort_acc,conditionally_available,portfolio_segmentation
open_acc_6m,modeling,portfolio_segmentation
open_il_12m,modeling,portfolio_segmentation
mths_since_recent_inq,modeling,portfolio_segmentation
hardship_start_date,post_application_leakage,
open_rv_12m,modeling,portfolio_segmentation
payment_plan_start_date,post_application_leakage,
hardship_end_date,post_application_leakage,
inq_last_6mths,modeling,portfolio_segmentation
inq_fi,modeling,portfolio_segmentation
num_tl_90g_dpd_24m,modeling,portfolio_segmentation
open_il_24m,modeling,portfolio_segmentation
delinq_2yrs,modeling,portfolio_segmentation
num_tl_op_past_12m,modeling,portfolio_segmentation
hardship_dpd,post_application_leakage,
num_actv_bc_tl,modeling,portfolio_segmentation
sub_grade,lender_derived_feature,"benchmarking,portfolio_segmentation,reporting"
tax_liens,modeling,portfolio_segmentation
sec_app_open_act_il,conditionally_available,portfolio_segmentation
mort_acc,modeling,portfolio_segmentation
num_accts_ever_120_pd,modeling,portfolio_segmentation
pub_rec,modeling,portfolio_segmentation
settlement_term,post_application_leakage,
inq_last_12m,modeling,portfolio_segmentation
num_rev_tl_bal_gt_0,modeling,portfolio_segmentation
open_rv_24m,modeling,portfolio_segmentation
fico_range_high,modeling,"benchmarking,portfolio_segmentation"
fico_range_low,modeling,"benchmarking,portfolio_segmentation"
open_act_il,modeling,portfolio_segmentation
addr_state,monitoring,"portfolio_segmentation,reporting"
num_actv_rev_tl,modeling,portfolio_segmentation
num_bc_sats,modeling,portfolio_segmentation
total_cu_tl,modeling,portfolio_segmentation
acc_open_past_24mths,modeling,portfolio_segmentation
sec_app_open_acc,conditionally_available,portfolio_segmentation
sec_app_fico_range_high,conditionally_available,"benchmarking,portfolio_segmentation"
sec_app_fico_range_low,conditionally_available,"benchmarking,portfolio_segmentation"
num_bc_tl,modeling,portfolio_segmentation
sec_app_num_rev_accts,conditionally_available,portfolio_segmentation
last_fico_range_low,post_application_leakage,
last_fico_range_high,post_application_leakage,
num_op_rev_tl,modeling,portfolio_segmentation
debt_settlement_flag_date,post_application_leakage,
num_sats,modeling,portfolio_segmentation
open_acc,modeling,portfolio_segmentation
settlement_date,post_application_leakage,
next_pymnt_d,post_application_leakage,
num_rev_accts,modeling,portfolio_segmentation
num_il_tl,modeling,portfolio_segmentation
sec_app_mths_since_last_major_derog,conditionally_available,portfolio_segmentation
mths_since_last_record,modeling,portfolio_segmentation
last_pymnt_d,post_application_leakage,
issue_d,monitoring,"portfolio_segmentation,reporting,time_split"
last_credit_pull_d,post_application_leakage,
total_acc,modeling,portfolio_segmentation
mths_since_last_delinq,modeling,portfolio_segmentation
mths_since_recent_bc_dlq,modeling,portfolio_segmentation
mths_since_recent_revol_delinq,modeling,portfolio_segmentation
all_util,modeling,portfolio_segmentation
mths_since_last_major_derog,modeling,portfolio_segmentation
mo_sin_rcnt_tl,modeling,portfolio_segmentation
il_util,modeling,portfolio_segmentation
percent_bc_gt_75,modeling,portfolio_segmentation
mo_sin_rcnt_rev_tl_op,modeling,portfolio_segmentation
mths_since_rcnt_il,modeling,portfolio_segmentation
mths_since_recent_bc,modeling,portfolio_segmentation
mo_sin_old_il_acct,modeling,portfolio_segmentation
sec_app_earliest_cr_line,conditionally_available,"data_quality_check,portfolio_segmentation"
pct_tl_nvr_dlq,modeling,portfolio_segmentation
int_rate,lender_derived_feature,"benchmarking,portfolio_segmentation,reporting"
earliest_cr_line,modeling,"data_quality_check,portfolio_segmentation"
mo_sin_old_rev_tl_op,modeling,portfolio_segmentation
zip_code,monitoring,portfolio_segmentation
sec_app_revol_util,conditionally_available,portfolio_segmentation
revol_util,modeling,portfolio_segmentation
bc_util,modeling,portfolio_segmentation
funded_amnt,monitoring,"portfolio_segmentation,reporting"
loan_amnt,conditionally_available,"portfolio_segmentation,reporting"
delinq_amnt,modeling,portfolio_segmentation
settlement_percentage,post_application_leakage,
dti_joint,conditionally_available,portfolio_segmentation
orig_projected_additional_accrued_interest,post_application_leakage,"portfolio_monitoring,reporting"
annual_inc_joint,conditionally_available,"data_quality_check,portfolio_segmentation"
hardship_last_payment_amount,post_application_leakage,
hardship_amount,post_application_leakage,
dti,modeling,portfolio_segmentation
hardship_payoff_balance_amount,post_application_leakage,
funded_amnt_inv,monitoring,"portfolio_segmentation,reporting"
tot_coll_amt,modeling,portfolio_segmentation
total_rec_late_fee,post_application_leakage,
total_bc_limit,modeling,portfolio_segmentation
revol_bal_joint,conditionally_available,portfolio_segmentation
out_prncp,post_application_leakage,
out_prncp_inv,post_application_leakage,
settlement_amount,post_application_leakage,
total_rev_hi_lim,modeling,portfolio_segmentation
max_bal_bc,modeling,portfolio_segmentation
title,high_cardinality_or_text,
annual_inc,modeling,"data_quality_check,portfolio_segmentation"
bc_open_to_buy,modeling,portfolio_segmentation
avg_cur_bal,modeling,portfolio_segmentation
installment,lender_derived_feature,"portfolio_segmentation,reporting"
revol_bal,modeling,portfolio_segmentation
total_bal_il,modeling,portfolio_segmentation
desc,high_cardinality_or_text,
recoveries,post_application_leakage,
collection_recovery_fee,post_application_leakage,
total_il_high_credit_limit,modeling,portfolio_segmentation
total_bal_ex_mort,modeling,portfolio_segmentation
total_rec_prncp,post_application_leakage,
emp_title,high_cardinality_or_text,
tot_cur_bal,modeling,portfolio_segmentation
tot_hi_cred_lim,modeling,portfolio_segmentation
total_rec_int,post_application_leakage,
last_pymnt_amnt,post_application_leakage,
total_pymnt_inv,post_application_leakage,
total_pymnt,post_application_leakage,
id,identifier,data_quality_check
url,identifier,
